claim_id,metric_id,value,unit,numerator,denominator,scope,evaluation_group,coverage_status,source_path,source_sha256,source_commit,supersedes,limitation
C1,s0.maximum_anchor_shift_reproduction_difference,1.367331066621548e-14,hartree,,,six molecular development conditions; selected current_m3 branches,primary_plus_stress,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/audit.json,2fc88b90e29ce8742f35dc988a89552778bfdb774078a568adfd929fdc922e96,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.maximum_eigenpair_residual_2_norm,3.1031929127542307e-14,dimensionless,,,six molecular development conditions; selected current_m3 branches,primary_plus_stress,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/audit.json,2fc88b90e29ce8742f35dc988a89552778bfdb774078a568adfd929fdc922e96,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.maximum_unitarity_residual_frobenius,9.886689538770388e-12,dimensionless,,,six molecular development conditions; selected current_m3 branches,primary_plus_stress,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/audit.json,2fc88b90e29ce8742f35dc988a89552778bfdb774078a568adfd929fdc922e96,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.minimum_previous_branch_overlap_probability,0.9999999919683533,probability,,,six molecular development conditions; selected current_m3 branches,primary_plus_stress,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/audit.json,2fc88b90e29ce8742f35dc988a89552778bfdb774078a568adfd929fdc922e96,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.minimum_ground_state_overlap_probability,0.9999996340938037,probability,,,six molecular development conditions; selected current_m3 branches,primary_plus_stress,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/audit.json,2fc88b90e29ce8742f35dc988a89552778bfdb774078a568adfd929fdc922e96,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.minimum_phase_gap,0.03252669041934374,radian,,,six molecular development conditions; selected current_m3 branches,primary_plus_stress,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/audit.json,2fc88b90e29ce8742f35dc988a89552778bfdb774078a568adfd929fdc922e96,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.N2_active_eq_sto3g.signed_direct_shift,-2.1708888669736095e-05,hartree,,,N2_active_eq_sto3g,primary,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/scoring.csv,7d4ed0244076eb13259b926730b056a0f9460e63154dd7377b58dad34a95ae78,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.N2_active_eq_sto3g.absolute_direct_error,2.1708888669736095e-05,hartree,,,N2_active_eq_sto3g,primary,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/scoring.csv,7d4ed0244076eb13259b926730b056a0f9460e63154dd7377b58dad34a95ae78,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.N2_active_stretch150_sto3g.signed_direct_shift,-8.568591745727244e-06,hartree,,,N2_active_stretch150_sto3g,primary,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/scoring.csv,7d4ed0244076eb13259b926730b056a0f9460e63154dd7377b58dad34a95ae78,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
C1,s0.N2_active_stretch150_sto3g.absolute_direct_error,8.568591745727244e-06,hartree,,,N2_active_stretch150_sto3g,primary,exact_selected_time_v1_1,artifacts/server_pf_first_study_s0_exact_time_v1_1_20260925_3279201/scoring.csv,7d4ed0244076eb13259b926730b056a0f9460e63154dd7377b58dad34a95ae78,cc3626a8135b647fe283fc60c963de70c5f6b2a5,none,Numerical reproducibility for six development conditions; not a general branch-tracking guarantee.
