system_id,formula_id,state_id,proxy_power,coefficient
two_level_commuting,yoshida4,exact_ground,0,-6.2803698347351e-16
two_level_commuting,yoshida4,exact_ground,1,0.0
two_level_commuting,yoshida4,exact_ground,2,-7.850462293418875e-17
two_level_commuting,yoshida4,exact_ground,3,0.0
two_level_commuting,yoshida4,exact_ground,4,-2.943923360032078e-17
two_level_commuting,yoshida4,exact_ground,5,-1.7105694144590052e-49
two_level_commuting,yoshida4,exact_ground,6,4.5998802500501224e-18
two_level_commuting,yoshida4,exact_ground,7,0.0
two_level_commuting,yoshida4,real_q001,0,-6.154762438040397e-16
two_level_commuting,yoshida4,real_q001,1,0.0
two_level_commuting,yoshida4,real_q001,2,-7.693453047550496e-17
two_level_commuting,yoshida4,real_q001,3,0.0
two_level_commuting,yoshida4,real_q001,4,-2.885044892831436e-17
two_level_commuting,yoshida4,real_q001,5,-1.7105694144590052e-49
two_level_commuting,yoshida4,real_q001,6,4.507882645049119e-18
two_level_commuting,yoshida4,real_q001,7,0.0
two_level_commuting,yoshida4,complex_q001,0,-6.154762438040398e-16
two_level_commuting,yoshida4,complex_q001,1,0.0
two_level_commuting,yoshida4,complex_q001,2,-7.693453047550498e-17
two_level_commuting,yoshida4,complex_q001,3,0.0
two_level_commuting,yoshida4,complex_q001,4,-2.885044892831436e-17
two_level_commuting,yoshida4,complex_q001,5,4.81482486096809e-35
two_level_commuting,yoshida4,complex_q001,6,4.507882645049119e-18
two_level_commuting,yoshida4,complex_q001,7,-4.513898307157584e-36
two_level_noncommuting,yoshida4,exact_ground,0,-3.14018491736755e-16
two_level_noncommuting,yoshida4,exact_ground,1,0.0
two_level_noncommuting,yoshida4,exact_ground,2,7.850462293418876e-17
two_level_noncommuting,yoshida4,exact_ground,3,-5.473822126268817e-48
two_level_noncommuting,yoshida4,exact_ground,4,-0.3429816597658887
two_level_noncommuting,yoshida4,exact_ground,5,-6.162975822039155e-33
two_level_noncommuting,yoshida4,exact_ground,6,0.39810396045018454
two_level_noncommuting,yoshida4,exact_ground,7,-7.703719777548943e-34
two_level_noncommuting,yoshida4,real_q001,0,-3.0773812190201986e-16
two_level_noncommuting,yoshida4,real_q001,1,0.0
two_level_noncommuting,yoshida4,real_q001,2,-1.679880581366702e-17
two_level_noncommuting,yoshida4,real_q001,3,0.0
two_level_noncommuting,yoshida4,real_q001,4,-0.3863757139089459
two_level_noncommuting,yoshida4,real_q001,5,-4.622231866529366e-33
two_level_noncommuting,yoshida4,real_q001,6,0.4138107633517181
two_level_noncommuting,yoshida4,real_q001,7,-1.1555579666323415e-33
two_level_noncommuting,yoshida4,complex_q001,0,-3.077381219020199e-16
two_level_noncommuting,yoshida4,complex_q001,1,0.0
two_level_noncommuting,yoshida4,complex_q001,2,7.6934530475505e-17
two_level_noncommuting,yoshida4,complex_q001,3,1.3255895542662531e-16
two_level_noncommuting,yoshida4,complex_q001,4,-0.3361220265705709
two_level_noncommuting,yoshida4,complex_q001,5,0.07106944619318709
two_level_noncommuting,yoshida4,complex_q001,6,0.3901418812411808
two_level_noncommuting,yoshida4,complex_q001,7,0.013906776708526202
two_level_commuting,current_m3,exact_ground,0,-3.14018491736755e-16
two_level_commuting,current_m3,exact_ground,1,0.0
two_level_commuting,current_m3,exact_ground,2,2.3551386880256624e-16
two_level_commuting,current_m3,exact_ground,3,0.0
two_level_commuting,current_m3,exact_ground,4,-2.943923360032078e-17
two_level_commuting,current_m3,exact_ground,5,-1.7105694144590052e-49
two_level_commuting,current_m3,exact_ground,6,-1.0119736550110269e-17
two_level_commuting,current_m3,exact_ground,7,4.276423536147513e-50
two_level_commuting,current_m3,real_q001,0,-3.0773812190201986e-16
two_level_commuting,current_m3,real_q001,1,0.0
two_level_commuting,current_m3,real_q001,2,2.308035914265149e-16
two_level_commuting,current_m3,real_q001,3,0.0
two_level_commuting,current_m3,real_q001,4,-2.885044892831436e-17
two_level_commuting,current_m3,real_q001,5,-1.7105694144590052e-49
two_level_commuting,current_m3,real_q001,6,-9.917341819108062e-18
two_level_commuting,current_m3,real_q001,7,0.0
two_level_commuting,current_m3,complex_q001,0,-3.077381219020199e-16
two_level_commuting,current_m3,complex_q001,1,0.0
two_level_commuting,current_m3,complex_q001,2,2.308035914265149e-16
two_level_commuting,current_m3,complex_q001,3,0.0
two_level_commuting,current_m3,complex_q001,4,-2.885044892831436e-17
two_level_commuting,current_m3,complex_q001,5,4.81482486096809e-35
two_level_commuting,current_m3,complex_q001,6,-9.917341819108062e-18
two_level_commuting,current_m3,complex_q001,7,1.2037062152420224e-35
two_level_noncommuting,current_m3,exact_ground,0,0.0
two_level_noncommuting,current_m3,exact_ground,1,0.0
two_level_noncommuting,current_m3,exact_ground,2,-7.850462293418876e-16
two_level_noncommuting,current_m3,exact_ground,3,6.56858655152258e-47
two_level_noncommuting,current_m3,exact_ground,4,-0.000937184564454958
two_level_noncommuting,current_m3,exact_ground,5,9.62964972193618e-35
two_level_noncommuting,current_m3,exact_ground,6,0.00012322332978608624
two_level_noncommuting,current_m3,exact_ground,7,-1.2037062152420224e-35
two_level_noncommuting,current_m3,real_q001,0,0.0
two_level_noncommuting,current_m3,real_q001,1,0.0
two_level_noncommuting,current_m3,real_q001,2,-3.787897368834996e-16
two_level_noncommuting,current_m3,real_q001,3,4.3790577010150533e-47
two_level_noncommuting,current_m3,real_q001,4,-0.00017909812421534866
two_level_noncommuting,current_m3,real_q001,5,4.81482486096809e-35
two_level_noncommuting,current_m3,real_q001,6,-0.0007074220683118285
two_level_noncommuting,current_m3,real_q001,7,-3.611118645726067e-35
two_level_noncommuting,current_m3,complex_q001,0,0.0
two_level_noncommuting,current_m3,complex_q001,1,0.0
two_level_noncommuting,current_m3,complex_q001,2,-7.693453047550499e-16
two_level_noncommuting,current_m3,complex_q001,3,-5.412824013253868e-16
two_level_noncommuting,current_m3,complex_q001,4,-0.000918440873165859
two_level_noncommuting,current_m3,complex_q001,5,-0.0010455885428083777
two_level_noncommuting,current_m3,complex_q001,6,0.00012075886319036455
two_level_noncommuting,current_m3,complex_q001,7,0.0004741656768902179
two_level_commuting,two_term_center,exact_ground,0,1.570092458683775e-16
two_level_commuting,two_term_center,exact_ground,1,0.0
two_level_commuting,two_term_center,exact_ground,2,-7.850462293418875e-17
two_level_commuting,two_term_center,exact_ground,3,-2.7369110631344083e-48
two_level_commuting,two_term_center,exact_ground,4,9.813077866773593e-18
two_level_commuting,two_term_center,exact_ground,5,6.842277657836021e-49
two_level_commuting,two_term_center,exact_ground,6,-5.2131976167234716e-18
two_level_commuting,two_term_center,exact_ground,7,0.0
two_level_commuting,two_term_center,real_q001,0,1.5386906095100993e-16
two_level_commuting,two_term_center,real_q001,1,0.0
two_level_commuting,two_term_center,real_q001,2,-7.693453047550496e-17
two_level_commuting,two_term_center,real_q001,3,0.0
two_level_commuting,two_term_center,real_q001,4,9.61681630943812e-18
two_level_commuting,two_term_center,real_q001,5,0.0
two_level_commuting,two_term_center,real_q001,6,-5.108933664389001e-18
two_level_commuting,two_term_center,real_q001,7,-2.1382117680737565e-50
two_level_commuting,two_term_center,complex_q001,0,1.5386906095100995e-16
two_level_commuting,two_term_center,complex_q001,1,0.0
two_level_commuting,two_term_center,complex_q001,2,-7.693453047550498e-17
two_level_commuting,two_term_center,complex_q001,3,0.0
two_level_commuting,two_term_center,complex_q001,4,9.616816309438122e-18
two_level_commuting,two_term_center,complex_q001,5,0.0
two_level_commuting,two_term_center,complex_q001,6,-5.108933664389002e-18
two_level_commuting,two_term_center,complex_q001,7,0.0
two_level_noncommuting,two_term_center,exact_ground,0,1.570092458683775e-16
two_level_noncommuting,two_term_center,exact_ground,1,-9.745696655292093e-114
two_level_noncommuting,two_term_center,exact_ground,2,-1.020560098144454e-15
two_level_noncommuting,two_term_center,exact_ground,3,4.3790577010150533e-47
two_level_noncommuting,two_term_center,exact_ground,4,-0.001593469196376012
two_level_noncommuting,two_term_center,exact_ground,5,2.407412430484045e-35
two_level_noncommuting,two_term_center,exact_ground,6,0.00020444923733322034
two_level_noncommuting,two_term_center,exact_ground,7,-1.2037062152420224e-35
two_level_noncommuting,two_term_center,real_q001,0,1.5386906095100993e-16
two_level_noncommuting,two_term_center,real_q001,1,-3.248565551764031e-114
two_level_noncommuting,two_term_center,real_q001,2,-3.4401554215736066e-16
two_level_noncommuting,two_term_center,real_q001,3,4.3790577010150533e-47
two_level_noncommuting,two_term_center,real_q001,4,-0.0011074035324924799
two_level_noncommuting,two_term_center,real_q001,5,4.81482486096809e-35
two_level_noncommuting,two_term_center,real_q001,6,-0.0003329772822747494
two_level_noncommuting,two_term_center,real_q001,7,-1.2037062152420224e-35
two_level_noncommuting,two_term_center,complex_q001,0,1.5386906095100995e-16
two_level_noncommuting,two_term_center,complex_q001,1,1.3111693141257025e-82
two_level_noncommuting,two_term_center,complex_q001,2,-1.000148896181565e-15
two_level_noncommuting,two_term_center,complex_q001,3,-9.389592676052628e-16
two_level_noncommuting,two_term_center,complex_q001,4,-0.0015615998124484916
two_level_noncommuting,two_term_center,complex_q001,5,-0.0006423305390938262
two_level_noncommuting,two_term_center,complex_q001,6,0.00020036025258655599
two_level_noncommuting,two_term_center,complex_q001,7,0.00032603281572752294
two_level_commuting,m5_best,exact_ground,0,0.0
two_level_commuting,m5_best,exact_ground,1,0.0
two_level_commuting,m5_best,exact_ground,2,-7.850462293418875e-17
two_level_commuting,m5_best,exact_ground,3,0.0
two_level_commuting,m5_best,exact_ground,4,9.813077866773593e-18
two_level_commuting,m5_best,exact_ground,5,0.0
two_level_commuting,m5_best,exact_ground,6,-2.7599281500300733e-18
two_level_commuting,m5_best,exact_ground,7,0.0
two_level_commuting,m5_best,real_q001,0,0.0
two_level_commuting,m5_best,real_q001,1,0.0
two_level_commuting,m5_best,real_q001,2,-7.693453047550496e-17
two_level_commuting,m5_best,real_q001,3,0.0
two_level_commuting,m5_best,real_q001,4,9.61681630943812e-18
two_level_commuting,m5_best,real_q001,5,0.0
two_level_commuting,m5_best,real_q001,6,-2.7047295870294714e-18
two_level_commuting,m5_best,real_q001,7,-4.276423536147513e-50
two_level_commuting,m5_best,complex_q001,0,0.0
two_level_commuting,m5_best,complex_q001,1,0.0
two_level_commuting,m5_best,complex_q001,2,-7.693453047550498e-17
two_level_commuting,m5_best,complex_q001,3,0.0
two_level_commuting,m5_best,complex_q001,4,9.616816309438122e-18
two_level_commuting,m5_best,complex_q001,5,0.0
two_level_commuting,m5_best,complex_q001,6,-2.7047295870294718e-18
two_level_commuting,m5_best,complex_q001,7,1.2037062152420224e-35
two_level_noncommuting,m5_best,exact_ground,0,0.0
two_level_noncommuting,m5_best,exact_ground,1,0.0
two_level_noncommuting,m5_best,exact_ground,2,-7.850462293418875e-17
two_level_noncommuting,m5_best,exact_ground,3,0.0
two_level_noncommuting,m5_best,exact_ground,4,-8.230622435136028e-05
two_level_noncommuting,m5_best,exact_ground,5,0.0
two_level_noncommuting,m5_best,exact_ground,6,1.2615697062306748e-05
two_level_noncommuting,m5_best,exact_ground,7,-6.018531076210112e-36
two_level_noncommuting,m5_best,real_q001,0,0.0
two_level_noncommuting,m5_best,real_q001,1,0.0
two_level_noncommuting,m5_best,real_q001,2,-7.693453047550496e-17
two_level_noncommuting,m5_best,real_q001,3,0.0
two_level_noncommuting,m5_best,real_q001,4,0.0002868828161705077
two_level_noncommuting,m5_best,real_q001,5,3.611118645726067e-35
two_level_noncommuting,m5_best,real_q001,6,-0.0003924730372591048
two_level_noncommuting,m5_best,real_q001,7,-2.407412430484045e-35
two_level_noncommuting,m5_best,complex_q001,0,0.0
two_level_noncommuting,m5_best,complex_q001,1,0.0
two_level_noncommuting,m5_best,complex_q001,2,-7.693453047550498e-17
two_level_noncommuting,m5_best,complex_q001,3,0.0
two_level_noncommuting,m5_best,complex_q001,4,-8.066009986433328e-05
two_level_noncommuting,m5_best,complex_q001,5,-0.0005197841766106292
two_level_noncommuting,m5_best,complex_q001,6,1.2363383121060684e-05
two_level_noncommuting,m5_best,complex_q001,7,0.00022600237183712012
