experiment_id,case_id,formula_id,state_id,absolute_time,direct_shift_hartree,direct_cost,resource_unit,predicted_signed_shift_hartree,predicted_cost
B,H4,yoshida4,exact_truth,0.07187055691036282,-1.2557257478285067e-07,117019282.82140912,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.0722451563178385,-1.282096779853248e-07,116414452.39703545,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07262170818988536,-1.3090210182475914e-07,115812788.39110476,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07300022270302226,-1.3365110396179603e-07,115214274.93337959,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07338071008680935,-1.3645775398529736e-07,114618896.08949971,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07376318062412475,-1.3932337816768836e-07,114026636.18274032,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07414764465144236,-1.4224912314730886e-07,113437479.4781398,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07453411255911127,-1.4523632407836828e-07,112851410.44651154,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07492259479163649,-1.4828621885953908e-07,112268413.55923106,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07531310184796124,-1.5140013776004935e-07,111688473.4228025,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07570564428175075,-1.5457945790053884e-07,111111574.74517904,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.0761002327016774,-1.5782546514131468e-07,110537702.23880203,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07649687777170747,-1.6113967293840403e-07,109966840.84226364,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07689559021138925,-1.6452340378947383e-07,109398975.42840022,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07729638079614297,-1.679781911345657e-07,108834091.08224022,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07769926035755172,-1.7150550579714263e-07,108272172.9110088,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07810423978365436,-1.7510687744248798e-07,107713206.12721972,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07851133001923978,-1.787837919930979e-07,107157175.97839476,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.0789205420661426,-1.825379445374864e-07,106604067.91700907,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07933188698354053,-1.8637088472495122e-07,106053867.36042985,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.07974537588825327,-1.9028425302103358e-07,105506559.84984905,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08016101995504299,-1.9427982089759155e-07,104962131.07505468,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08057883041691623,-1.9835921660771305e-07,104420566.69213356,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08099881856542751,-2.025242575864894e-07,103881852.54269329,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08142099575098463,-2.0677668310931097e-07,103345974.47692248,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08184537338315517,-2.1111843162557875e-07,102812918.53391573,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08227196293097508,-2.155512590640285e-07,102282670.69290233,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08270077592325843,-2.2007716404814914e-07,101755217.1480208,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08313182394890917,-2.246980548292754e-07,101230544.09231432,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.0835651186572342,-2.2941594068903726e-07,100708637.84022613,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08400067175825825,-2.342328015991768e-07,100189484.7437685,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08443849502304035,-2.3915079117031723e-07,99673071.32001162,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.0848786002839919,-2.4417201638371466e-07,99159384.1109126,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08532099943519654,-2.49298601762149e-07,98648409.72375779,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08576570443273146,-2.5453277685549835e-07,98140134.88475099,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08621272729499069,-2.598768200634538e-07,97634546.40278669,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08666208010300976,-2.6533301222819716e-07,97131631.14027226,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08711377500079226,-2.709037383308299e-07,96631376.0747899,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.087567824195638,-2.765913023061728e-07,96133768.18550038,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.088024239958473,-2.8239829985565734e-07,95638794.67847756,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08848303462418104,-2.883271397191578e-07,95146442.69581115,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08894422059193703,-2.9438038251505816e-07,94656699.52007687,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08940781032554214,-3.005606830086549e-07,94169552.53779298,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.08987381635376059,-3.068706728726056e-07,93684989.16890877,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.09034225127065826,-3.133130441757004e-07,93202996.91605859,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.09081312773594315,-3.1989065241155856e-07,92723563.42370234,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.09128645847530732,-3.2660627402592013e-07,92246676.33503434,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.09176225628077099,-3.334627776130361e-07,91772323.39195643,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.09224053401102818,-3.4046319452585294e-07,91300492.47425707,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.09272130459179417,-3.4761048728348953e-07,90831171.46494722,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.09320458101615496,-3.5490776939539614e-07,90364348.37622094,Pauli_rotations,,
B,H4,yoshida4,exact_truth,0.09369037634491824,-3.6235815104035396e-07,89900011.26003303,Pauli_rotations,,
