system_id,formula_id,state_id,component_index,importance_rank,component_kind,coefficient_real,coefficient_imaginary,norm_bound_importance_score,expectation_real_hartree,expectation_imaginary_hartree,expectation_absolute_hartree,linear_combination_actions,equivalent_fragment_actions
H2,yoshida4,exact,0,5,base_y5:y5_quintic_sss,0.0,0.029396928174918454,0.0020851890953535674,-8.855835052967862e-05,3.3881317890172014e-21,8.855835052967862e-05,46,54
H2,yoshida4,exact,1,1,base_y5:y5_quintic_fff,0.0,0.025722312153053647,0.012441856100951467,-0.00171850494818858,4.336808689942018e-19,0.00171850494818858,46,48
H2,yoshida4,exact,2,4,base_y5:y5_quintic_cross,0.0,-0.04409539226237768,0.0037286258765802847,0.000804886126476974,5.421010862427522e-20,0.000804886126476974,28,32
H2,yoshida4,exact,3,3,composition_mixing:y3_partial_sum,0.0,-0.012033632624589613,0.004816922720412533,-5.590417451878382e-20,-3.3881317890172014e-21,5.600675107204834e-20,46,52
H2,yoshida4,exact,4,2,composition_mixing:y3_fragment,0.0,-0.006016816312294807,0.00903828724953379,-3.5236570605778894e-19,1.3552527156068805e-20,3.526262352660677e-19,46,52
H2,yoshida4,hf,0,5,base_y5:y5_quintic_sss,0.0,0.029396928174918454,0.0020851890953535674,-9.435816573127173e-05,0.0,9.435816573127173e-05,46,54
H2,yoshida4,hf,1,1,base_y5:y5_quintic_fff,0.0,0.025722312153053647,0.012441856100951467,-0.002441403116195057,0.0,0.002441403116195057,46,48
H2,yoshida4,hf,2,4,base_y5:y5_quintic_cross,0.0,-0.04409539226237768,0.0037286258765802847,0.001046315621226453,0.0,0.001046315621226453,28,32
H2,yoshida4,hf,3,3,composition_mixing:y3_partial_sum,0.0,-0.012033632624589613,0.004816922720412533,0.0001545020615465605,0.0,0.0001545020615465605,46,52
H2,yoshida4,hf,4,2,composition_mixing:y3_fragment,0.0,-0.006016816312294807,0.00903828724953379,0.0005710790696809856,0.0,0.0005710790696809856,46,52
H2,yoshida4,cisd,0,5,base_y5:y5_quintic_sss,0.0,0.029396928174918454,0.0020851890953535674,-8.855835052967864e-05,0.0,8.855835052967864e-05,46,54
H2,yoshida4,cisd,1,1,base_y5:y5_quintic_fff,0.0,0.025722312153053647,0.012441856100951467,-0.001718504948188581,0.0,0.001718504948188581,46,48
H2,yoshida4,cisd,2,4,base_y5:y5_quintic_cross,0.0,-0.04409539226237768,0.0037286258765802847,0.0008048861264769742,0.0,0.0008048861264769742,28,32
H2,yoshida4,cisd,3,3,composition_mixing:y3_partial_sum,0.0,-0.012033632624589613,0.004816922720412533,-1.0842021724855044e-19,0.0,1.0842021724855044e-19,46,52
H2,yoshida4,cisd,4,2,composition_mixing:y3_fragment,0.0,-0.006016816312294807,0.00903828724953379,-5.421010862427522e-20,0.0,5.421010862427522e-20,46,52
H2,current_m3,exact,0,5,base_y5:y5_quintic_sss,0.0,8.032600736357548e-05,5.697701257464211e-06,-2.4198238245934667e-07,0.0,2.4198238245934667e-07,46,54
