dataset_id,condition,analysis_cluster,pf,short_time_proxy_point_count,selected_short_time_window_point_count,direct_fit_point_count,total_calibration_point_count,short_time_proxy_seconds,direct_fit_seconds,total_calibration_seconds,shared_system_preparation_seconds,shared_system_preparation_included,timing_scope,source
five_condition_holdout,H6,H_chain,current_m3,5,5,3,8,0.28753132186830044,0.6660268139094114,0.9535581357777119,2.4191380385309458,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/H6.json
five_condition_holdout,H6,H_chain,two_term_center,5,5,3,8,0.277780843898654,0.6573379840701818,0.9351188279688358,2.4191380385309458,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/H6.json
five_condition_holdout,H7,H_chain,current_m3,5,5,3,8,0.5765432957559824,2.6560666393488646,3.232609935104847,7.089049832895398,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/H7.json
five_condition_holdout,H7,H_chain,two_term_center,5,5,3,8,0.5752844400703907,2.6563755851238966,3.2316600251942873,7.089049832895398,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/H7.json
five_condition_holdout,NH3_631g,NH3,current_m3,5,5,3,8,1.1985056325793266,68.40793430805206,69.60643994063139,15.88870120421052,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_631g.json
five_condition_holdout,NH3_631g,NH3,two_term_center,5,5,3,8,1.2263002544641495,68.98311438970268,70.20941464416683,15.88870120421052,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_631g.json
five_condition_holdout,NH3_ccpvdz,NH3,current_m3,5,5,3,8,1.1605536956340075,63.112848887220025,64.27340258285403,15.69581856392324,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_ccpvdz.json
five_condition_holdout,NH3_ccpvdz,NH3,two_term_center,5,5,3,8,1.176881043240428,64.30651844292879,65.48339948616922,15.69581856392324,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_ccpvdz.json
five_condition_holdout,NH3_sto3g,NH3,current_m3,5,5,3,8,1.215644335374236,70.7775036264211,71.99314796179533,16.15461170487106,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_sto3g.json
five_condition_holdout,NH3_sto3g,NH3,two_term_center,5,5,3,8,1.2198116034269333,70.12566675618291,71.34547835960984,16.15461170487106,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_m3_holdout_server2_20260910_d2360f4_cpu/NH3_sto3g.json
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_m3,5,5,3,8,0.010317298991139978,0.004276120918802917,0.014593419909942895,0.0756190390093252,False,saved PF-specific short-time fit plus three direct training points; shared system preparation and validation points excluded,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e4o.json
