dataset_id,condition,analysis_cluster,pf,model,four_metric_pass,strict_frozen_budget_pass_before_margin,empirical_uniform_cost_multiplier,margin_adjusted_frozen_cost,margin_adjusted_total_error_hartree,margin_adjusted_pass_on_saved_conditions,margin_adjusted_cost_ratio_to_current_m3_two_term,oracle_direct_required_cost,oracle_direct_cost_ratio_to_current_m3_two_term,short_time_proxy_point_count,direct_fit_point_count,total_calibration_point_count,total_calibration_seconds,calibration_source,margin_scope
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_m3,original_one_term,False,True,1.0,1374778.3784755995,0.00015456894904992857,True,1.0386052369160539,1324984.8071102058,1.0107548073293828,5,3,8,0.014593419909942895,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e4o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_m3,refit_one_term,False,True,1.0,1372752.4585430862,0.00015471072968502997,True,1.0370747130989613,1324451.8514991023,1.010348246104586,5,3,8,0.014593419909942895,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e4o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_m3,two_term,True,True,1.0,1323677.49517396,0.00015813836049472467,True,1.0,1310886.4756340676,1.0,5,3,8,0.014593419909942895,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e4o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,two_term_center,original_one_term,False,True,1.0,1569877.7836781866,0.00015718724779135347,True,1.1859971854185454,1543570.8951865917,1.1775015791813521,5,3,8,0.012530503969173878,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e4o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,two_term_center,refit_one_term,False,True,1.0,1568705.3170693524,0.00015727262620714508,True,1.1851114208625193,1543434.3893685746,1.1773974467331545,5,3,8,0.012530503969173878,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e4o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,two_term_center,two_term,True,True,1.0001234080738037,1542790.416048009,0.00015921268005118775,True,1.1655334639086334,1540995.8465718187,1.1755372224939986,5,3,8,0.012530503969173878,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e4o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,current_m3,original_one_term,False,True,1.0,8108676.846402109,0.00015631565835913579,True,1.0246416976477521,7919561.555169373,1.0035500522113294,5,3,8,0.049702092073857784,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e5o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,current_m3,refit_one_term,False,True,1.0,8100702.451564474,0.00015642255918758678,True,1.023634024309805,7918257.883140996,1.003384853655446,5,3,8,0.049702092073857784,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e5o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,current_m3,two_term,True,True,1.0,7913670.568957933,0.0001590064643077648,True,1.0,7891546.154293515,1.0,5,3,8,0.049702092073857784,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e5o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,two_term_center,original_one_term,False,True,1.0,9259447.644060664,0.00015790428073394743,True,1.170057252620757,9154911.735498646,1.1600910083403337,5,3,8,0.04731390596134588,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e5o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,two_term_center,refit_one_term,False,True,1.0,9254843.114599118,0.00015796335359863706,True,1.1694754076448484,9154553.155775819,1.1600455698779821,5,3,8,0.04731390596134588,artifacts/two_term_pf_geometry_local_20260911/BeH2_CAS4e5o.json,post-hoc uniform margin over the same 17 saved development conditions; not an unseen-system guarantee
