dataset_id,condition,analysis_cluster,current_m3_four_metric_pass,two_term_center_four_metric_pass,current_m3_margin_adjusted_pass,two_term_center_margin_adjusted_pass,margin_adjusted_quantum_cost_ratio_new_over_current,oracle_direct_cost_ratio_new_over_current,current_m3_calibration_seconds,two_term_center_calibration_seconds,calibration_seconds_new_minus_current,calibration_time_ratio_new_over_current,current_m3_calibration_points,two_term_center_calibration_points
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,True,True,True,True,1.1655334639086334,1.1755372224939986,0.014593419909942895,0.012530503969173878,-0.0020629159407690167,0.8586406782303649,8,8
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,True,True,True,True,1.156543123556127,1.1592764403100608,0.049702092073857784,0.04731390596134588,-0.002388186112511903,0.9519499881622078,8,8
twelve_condition_holdout,BeH2_stretch125,BeH2,True,True,True,True,1.1477765869389671,1.148138259446142,0.1303754669497721,0.12614770093932748,-0.004227766010444611,0.9675723806836037,8,8
twelve_condition_holdout,BeH2_stretch150,BeH2,True,True,True,True,1.1463261226750332,1.1464410389560309,0.12388633796945214,0.11988564202329144,-0.004000695946160704,0.9677067220507625,8,8
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,True,True,True,True,1.1493411256732617,1.1499847109288024,0.12492781301261857,0.12181797903031111,-0.003109833982307464,0.9751069525086992,8,8
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,True,True,True,True,1.1515275421012712,1.1528470627281333,0.1255007969448343,0.1280000569531694,0.0024992600083351135,1.019914295918246,8,8
twelve_condition_holdout,H2O_CAS8e5o,H2O,True,True,True,True,1.160512639370642,1.166432554104775,0.08458101295400411,0.08094160701148212,-0.0036394059425219893,0.9569713601739301,8,8
twelve_condition_holdout,H2O_stretch125,H2O,True,True,True,True,1.1471000232644293,1.1474471649260172,0.1948843170539476,0.18585353501839563,-0.009030782035551965,0.9536608067182129,8,8
twelve_condition_holdout,H2O_stretch150,H2O,True,True,True,True,1.1479384046951726,1.1486998254186966,0.19070178898982704,0.18604948499705642,-0.004652303992770612,0.975604298116895,8,8
twelve_condition_holdout,H2O_stretch150_631g,H2O,True,True,True,True,1.1444018173497457,1.1445913761130564,0.19117130199447274,0.1861886659753509,-0.0049826360191218555,0.9739362761714836,8,8
twelve_condition_holdout,H2O_stretch150_ccpvdz,H2O,True,True,True,True,1.1442456378304369,1.1444281217860994,0.21685775998048484,0.18673840397968888,-0.03011935600079596,0.8611100843082284,8,8
five_condition_holdout,H6,H_chain,True,True,True,True,1.1502733110225531,1.1512747225633688,0.9535581357777119,0.9351188279688358,-0.018439307808876038,0.9806626286148383,8,8
five_condition_holdout,H7,H_chain,True,True,True,True,1.1501889024267202,1.151257977613777,3.232609935104847,3.2316600251942873,-0.0009499099105596542,0.999706147685731,8,8
twelve_condition_holdout,LiH_CAS2e4o,LiH,False,True,True,True,1.175105030616536,1.2101096263465227,0.028583522012922913,0.023380181984975934,-0.005203340027946979,0.8179601511110319,9,8
five_condition_holdout,NH3_631g,NH3,True,True,True,True,1.1521759724266714,1.1547130916704504,69.60643994063139,70.20941464416683,0.6029747035354376,1.0086626281138602,8,8
five_condition_holdout,NH3_ccpvdz,NH3,True,True,True,True,1.1529402463636456,1.1562103260130214,64.27340258285403,65.48339948616922,1.2099969033151865,1.018825779477839,8,8
five_condition_holdout,NH3_sto3g,NH3,True,True,True,True,1.147736641318516,1.1480496599638446,71.99314796179533,71.34547835960984,-0.6476696021854877,0.9910037327089908,8,8
