dataset_id,condition,analysis_cluster,strategy_id,strategy_label,pf,selected_relative_to_t_star,selected_time,direct_error_hartree,quantum_cost,quantum_cost_ratio_to_current_two_term_t_star,qpe_error_hartree,actual_total_error_bound_hartree,target_excess_hartree,target_excess_over_epsilon,saved_condition_pass,base_calibration_points,extra_direct_diagnostic_points,total_points,base_calibration_seconds,extra_direct_diagnostic_seconds,total_saved_classical_seconds,validation_truth_used_for_decision,pre_fixed_rule,information_class,implementation_complexity,required_input,note
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_two_term_tstar,current_m3 two-term at model t_star,current_m3,1.0,4.1128302192864155,3.293770152029723e-05,1323677.49517396,1.0,0.00012520065897442744,0.00015813836049472467,0.0,0.0,True,8,0,8,0.014593419909942895,0.0,0.014593419909942895,False,True,oracle-assisted target calibration; no validation truth in rule,low,saved exact-state short-time proxy and three signed direct fit points,A05 baseline
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_two_term_plus_1pct_budget,current_m3 two-term plus fixed 1% budget margin,current_m3,1.0,4.1128302192864155,3.293770152029723e-05,1336914.2701256997,1.01,0.00012396104848953212,0.00015689875000982935,0.0,0.0,True,8,0,8,0.014593419909942895,0.0,0.014593419909942895,False,True,pre-fixed safety rule after target calibration,low,current two-term calibration plus a fixed scalar cost margin,1% multiplier fixed from the declared canonical accuracy scale
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_two_term_time_cap_0p9,current_m3 two-term at fixed 0.9 t_star cap,current_m3,0.9,3.701547197357774,2.264202604564532e-05,1351624.377204406,1.0211130597387494,0.0001362354951571288,0.0001588775212027741,0.0,0.0,True,8,0,8,0.014593419909942895,0.0,0.014593419909942895,False,True,pre-fixed conservative time rule after target calibration,low,current two-term calibration; no validation truth for the decision,0.9 is the largest common predeclared shrink tested here; not optimized per condition
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_one_direct_check_tstar,current_m3 plus one direct check at t_star,current_m3,1.0,4.1128302192864155,3.293770152029723e-05,1310886.4756340676,0.9903367552998916,0.00012642230867874278,0.00015936001019904,0.0,0.0,True,8,1,9,0.014593419909942895,0.0014207700151018798,0.016014189925044775,True,True,one additional exact direct PF point,moderate,current two-term calibration plus one exact direct PF point,uses the checked direct error to set the QPE budget exactly
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_three_point_local_search,"current_m3 direct search at 0.9,1.0,1.1 t_star",current_m3,1.0,4.1128302192864155,3.293770152029723e-05,1310886.4756340676,0.9903367552998916,0.00012642230867874278,0.00015936001019904,0.0,0.0,True,8,3,11,0.014593419909942895,0.00423718400998041,0.018830603919923306,True,True,three additional exact direct PF points,moderate,current two-term calibration plus three exact direct PF points,chooses the lowest directly evaluated cost; not a model-only selector
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,current_full_saved_grid_oracle_reference,current_m3 full saved adaptive-grid oracle reference,current_m3,1.025,4.215650974768575,3.58330165661492e-05,1308889.7378026708,0.9888282777147724,0.0001235269936328908,0.00015936001019904,0.0,0.0,True,8,7,15,0.014593419909942895,0.009844565065577626,0.02443798497552052,True,False,adaptive saved direct-grid oracle reference,high diagnostic reference,current calibration plus the complete saved adaptive direct grid,"finite saved-grid minimum, not a continuous optimum"
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,new_two_term_plus_1pct_budget,two_term_center two-term plus fixed 1% budget margin,two_term_center,1.0,3.4921254208473047,3.2700361120435735e-05,1558026.0472150662,1.1770435418714342,0.0001252751797745977,0.00015797554089503344,0.0,0.0,True,8,0,8,0.012530503969173878,0.0,0.012530503969173878,False,True,pre-fixed safety rule after target calibration,moderate,separate PF implementation and calibration plus a fixed cost margin,same fixed 1% multiplier as the current-PF safety baseline
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,current_two_term_tstar,current_m3 two-term at model t_star,current_m3,1.0,2.279845967302385,3.2900361119134995e-05,7913670.568957933,1.0,0.0001261061031886298,0.0001590064643077648,0.0,0.0,True,8,0,8,0.049702092073857784,0.0,0.049702092073857784,False,True,oracle-assisted target calibration; no validation truth in rule,low,saved exact-state short-time proxy and three signed direct fit points,A05 baseline
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,current_two_term_plus_1pct_budget,current_m3 two-term plus fixed 1% budget margin,current_m3,1.0,2.279845967302385,3.2900361119134995e-05,7992807.2746475125,1.01,0.00012485752790953447,0.00015775788902866946,0.0,0.0,True,8,0,8,0.049702092073857784,0.0,0.049702092073857784,False,True,pre-fixed safety rule after target calibration,low,current two-term calibration plus a fixed scalar cost margin,1% multiplier fixed from the declared canonical accuracy scale
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,current_two_term_time_cap_0p9,current_m3 two-term at fixed 0.9 t_star cap,current_m3,0.9,2.051861370572147,2.2109557737315843e-05,8087150.439265135,1.02192154308112,0.00013711218183085937,0.0001592217395681752,0.0,0.0,True,8,0,8,0.049702092073857784,0.0,0.049702092073857784,False,True,pre-fixed conservative time rule after target calibration,low,current two-term calibration; no validation truth for the decision,0.9 is the largest common predeclared shrink tested here; not optimized per condition
